time,open,high,low,close,volume
2026-08-14T04:11:00+09:00,159.512,159.515,159.51,159.512,66
2026-08-14T04:12:00+09:00,159.512,159.513,159.506,159.511,60
2026-08-14T04:13:00+09:00,159.51,159.51,159.5,159.508,82
2026-08-14T04:14:00+09:00,159.508,159.509,159.506,159.506,22
2026-08-14T04:15:00+09:00,159.507,159.512,159.507,159.51,55
2026-08-14T04:16:00+09:00,159.51,159.514,159.51,159.51,39
2026-08-14T04:17:00+09:00,159.51,159.51,159.498,159.502,79
2026-08-14T04:18:00+09:00,159.502,159.506,159.498,159.498,120
2026-08-14T04:19:00+09:00,159.499,159.506,159.498,159.501,91
2026-08-14T04:20:00+09:00,159.5,159.5,159.497,159.499,35
2026-08-14T04:21:00+09:00,159.5,159.5,159.498,159.5,32
2026-08-14T04:22:00+09:00,159.499,159.501,159.497,159.498,17
2026-08-14T04:23:00+09:00,159.498,159.498,159.491,159.496,61
2026-08-14T04:24:00+09:00,159.496,159.498,159.494,159.498,32
2026-08-14T04:25:00+09:00,159.497,159.5,159.496,159.496,44
2026-08-14T04:26:00+09:00,159.496,159.5,159.495,159.496,51
2026-08-14T04:27:00+09:00,159.496,159.499,159.495,159.498,49
2026-08-14T04:28:00+09:00,159.498,159.5,159.496,159.498,46
2026-08-14T04:29:00+09:00,159.497,159.503,159.496,159.502,51
2026-08-14T04:30:00+09:00,159.503,159.506,159.491,159.492,78
2026-08-14T04:31:00+09:00,159.492,159.498,159.492,159.494,101
2026-08-14T04:32:00+09:00,159.494,159.498,159.492,159.493,61
2026-08-14T04:33:00+09:00,159.492,159.494,159.491,159.492,29
2026-08-14T04:34:00+09:00,159.492,159.5,159.49,159.498,67
2026-08-14T04:35:00+09:00,159.498,159.503,159.495,159.503,122
2026-08-14T04:36:00+09:00,159.502,159.504,159.5,159.503,62
2026-08-14T04:37:00+09:00,159.504,159.504,159.496,159.502,82
2026-08-14T04:38:00+09:00,159.502,159.507,159.502,159.504,66
2026-08-14T04:39:00+09:00,159.504,159.516,159.504,159.516,48
2026-08-14T04:40:00+09:00,159.516,159.52,159.516,159.518,25
2026-08-14T04:41:00+09:00,159.518,159.526,159.518,159.526,40
2026-08-14T04:42:00+09:00,159.526,159.528,159.522,159.524,85
2026-08-14T04:43:00+09:00,159.522,159.523,159.514,159.516,63
2026-08-14T04:44:00+09:00,159.518,159.536,159.518,159.532,112
2026-08-14T04:45:00+09:00,159.532,159.54,159.531,159.54,128
2026-08-14T04:46:00+09:00,159.54,159.544,159.521,159.524,140
2026-08-14T04:47:00+09:00,159.525,159.54,159.524,159.53,114
2026-08-14T04:48:00+09:00,159.53,159.538,159.53,159.538,40
2026-08-14T04:49:00+09:00,159.538,159.542,159.535,159.538,76
2026-08-14T04:50:00+09:00,159.538,159.539,159.529,159.53,91
2026-08-14T04:51:00+09:00,159.529,159.531,159.526,159.526,37
2026-08-14T04:52:00+09:00,159.524,159.525,159.518,159.523,60
2026-08-14T04:53:00+09:00,159.522,159.525,159.516,159.516,56
2026-08-14T04:54:00+09:00,159.516,159.519,159.503,159.504,90
2026-08-14T04:55:00+09:00,159.504,159.506,159.494,159.506,155
2026-08-14T04:56:00+09:00,159.506,159.514,159.504,159.514,71
2026-08-14T04:57:00+09:00,159.513,159.518,159.512,159.516,139
2026-08-14T04:58:00+09:00,159.515,159.516,159.506,159.516,85
2026-08-14T04:59:00+09:00,159.518,159.52,159.516,159.52,122
2026-08-14T05:00:00+09:00,159.52,159.52,159.504,159.507,102
2026-08-14T05:01:00+09:00,159.508,159.514,159.502,159.514,58
2026-08-14T05:02:00+09:00,159.514,159.526,159.507,159.518,68
2026-08-14T05:03:00+09:00,159.518,159.522,159.517,159.517,70
2026-08-14T05:04:00+09:00,159.518,159.518,159.514,159.516,28
2026-08-14T05:05:00+09:00,159.515,159.535,159.515,159.535,50
2026-08-14T05:06:00+09:00,159.534,159.536,159.529,159.529,26
2026-08-14T05:07:00+09:00,159.528,159.541,159.528,159.54,27
2026-08-14T05:08:00+09:00,159.541,159.542,159.529,159.536,24
2026-08-14T05:09:00+09:00,159.534,159.534,159.531,159.531,7
2026-08-14T05:10:00+09:00,159.53,159.53,159.528,159.529,14
2026-08-14T05:11:00+09:00,159.53,159.53,159.527,159.53,17
2026-08-14T05:12:00+09:00,159.532,159.533,159.529,159.53,30
2026-08-14T05:13:00+09:00,159.531,159.531,159.529,159.53,38
2026-08-14T05:14:00+09:00,159.529,159.53,159.528,159.529,13
2026-08-14T05:15:00+09:00,159.53,159.544,159.529,159.544,28
2026-08-14T05:16:00+09:00,159.543,159.545,159.54,159.544,39
2026-08-14T05:17:00+09:00,159.544,159.557,159.544,159.556,27
2026-08-14T05:18:00+09:00,159.555,159.556,159.548,159.55,26
2026-08-14T05:19:00+09:00,159.552,159.556,159.55,159.554,113
2026-08-14T05:20:00+09:00,159.555,159.556,159.554,159.554,12
2026-08-14T05:21:00+09:00,159.555,159.558,159.554,159.556,15
2026-08-14T05:22:00+09:00,159.556,159.556,159.554,159.555,19
2026-08-14T05:23:00+09:00,159.556,159.558,159.554,159.557,36
2026-08-14T05:24:00+09:00,159.556,159.559,159.556,159.556,27
2026-08-14T05:25:00+09:00,159.556,159.557,159.555,159.555,17
2026-08-14T05:26:00+09:00,159.556,159.556,159.544,159.546,47
2026-08-14T05:27:00+09:00,159.546,159.555,159.546,159.552,71
2026-08-14T05:28:00+09:00,159.552,159.552,159.54,159.542,29
2026-08-14T05:29:00+09:00,159.542,159.557,159.54,159.548,81
2026-08-14T05:30:00+09:00,159.548,159.55,159.542,159.55,76
2026-08-14T05:31:00+09:00,159.55,159.556,159.548,159.556,50
2026-08-14T05:32:00+09:00,159.556,159.556,159.554,159.555,13
2026-08-14T05:33:00+09:00,159.554,159.554,159.55,159.55,21
2026-08-14T05:34:00+09:00,159.55,159.556,159.549,159.552,26
2026-08-14T05:35:00+09:00,159.553,159.555,159.553,159.554,10
2026-08-14T05:36:00+09:00,159.553,159.557,159.553,159.554,18
2026-08-14T05:37:00+09:00,159.553,159.556,159.552,159.554,19
2026-08-14T05:38:00+09:00,159.552,159.556,159.552,159.556,29
2026-08-14T05:39:00+09:00,159.554,159.556,159.554,159.554,9
2026-08-14T05:40:00+09:00,159.554,159.554,159.553,159.554,15
2026-08-14T05:41:00+09:00,159.554,159.557,159.554,159.556,19
2026-08-14T05:42:00+09:00,159.556,159.556,159.554,159.555,16
2026-08-14T05:43:00+09:00,159.556,159.556,159.555,159.556,10
2026-08-14T05:44:00+09:00,159.556,159.565,159.556,159.558,57
2026-08-14T05:45:00+09:00,159.558,159.56,159.536,159.536,100
2026-08-14T05:46:00+09:00,159.537,159.538,159.531,159.534,41
2026-08-14T05:47:00+09:00,159.534,159.534,159.532,159.532,38
2026-08-14T05:48:00+09:00,159.533,159.533,159.52,159.52,51
