episode,offset_bd,date,close,recovery_pct,phase
E4,47,2024-09-17,142.402,-340.3,pre
E4,48,2024-09-18,142.280,-343.1,pre
E4,49,2024-09-19,142.636,-335.0,pre
E4,50,2024-09-20,143.920,-305.8,pre
E4,51,2024-09-23,143.604,-312.9,pre
E4,52,2024-09-24,143.224,-321.6,pre
E4,53,2024-09-25,144.757,-286.7,pre
E4,54,2024-09-26,144.808,-285.6,pre
E4,55,2024-09-27,142.215,-344.5,pre
E4,56,2024-09-30,143.627,-312.4,pre
E4,57,2024-10-01,143.569,-313.7,pre
E4,58,2024-10-02,146.474,-247.7,pre
E4,59,2024-10-03,146.955,-236.7,pre
E4,60,2024-10-04,148.702,-197.0,pre
E4,61,2024-10-07,148.183,-208.8,pre
E4,62,2024-10-08,148.198,-208.5,pre
E4,63,2024-10-09,149.314,-183.1,pre
E4,64,2024-10-10,148.584,-199.7,pre
E4,65,2024-10-11,149.128,-187.3,pre
E4,66,2024-10-14,149.752,-173.1,pre
E4,67,2024-10-15,149.217,-185.3,pre
E4,68,2024-10-16,149.648,-175.5,pre
E4,69,2024-10-17,150.221,-162.5,pre
E4,70,2024-10-18,149.533,-178.1,pre
E4,71,2024-10-21,150.822,-148.8,pre
E4,72,2024-10-22,151.094,-142.6,pre
E4,73,2024-10-23,152.764,-104.6,pre
E4,74,2024-10-24,151.826,-125.9,pre
E4,75,2024-10-25,152.304,-115.1,pre
E4,76,2024-10-28,153.298,-92.5,pre
E4,77,2024-10-29,153.366,-90.9,pre
E4,78,2024-10-30,153.410,-89.9,pre
E4,79,2024-10-31,152.042,-121.0,pre
E4,80,2024-11-01,152.997,-99.3,pre
E4,81,2024-11-04,152.134,-118.9,pre
E4,82,2024-11-05,151.620,-130.6,pre
E4,83,2024-11-06,154.626,-62.3,pre
E4,84,2024-11-07,152.910,-101.3,pre
E4,85,2024-11-08,152.638,-107.5,pre
E4,86,2024-11-11,153.732,-82.6,pre
E4,87,2024-11-12,154.630,-62.2,pre
E4,88,2024-11-13,155.477,-42.9,pre
E4,89,2024-11-14,156.278,-24.7,pre
E4,90,2024-11-15,154.346,-68.6,pre
E4,91,2024-11-18,154.685,-60.9,pre
E4,92,2024-11-19,154.656,-61.6,pre
E4,93,2024-11-20,155.430,-44.0,pre
E4,94,2024-11-21,154.544,-64.1,pre
E4,95,2024-11-22,154.762,-59.2,pre
E4,96,2024-11-25,154.175,-72.5,pre
E4,97,2024-11-26,153.109,-96.8,pre
E4,98,2024-11-27,151.117,-142.1,pre
E4,99,2024-11-28,151.554,-132.1,pre
E4,100,2024-11-29,149.730,-173.6,pre
E4,101,2024-12-02,149.590,-176.8,pre
E4,102,2024-12-03,149.596,-176.7,pre
E4,103,2024-12-04,150.626,-153.2,pre
E4,104,2024-12-05,150.097,-165.3,pre
E4,105,2024-12-06,150.042,-166.5,pre
E4,106,2024-12-09,151.216,-139.8,pre
E4,107,2024-12-10,151.970,-122.7,pre
E4,108,2024-12-11,152.466,-111.4,pre
E4,109,2024-12-12,152.649,-107.2,pre
E4,110,2024-12-13,153.649,-84.5,pre
E4,111,2024-12-16,154.156,-73.0,pre
E4,112,2024-12-17,153.490,-88.1,pre
E4,113,2024-12-18,154.836,-57.5,pre
E4,114,2024-12-19,157.434,1.6,pre
E4,115,2024-12-20,156.418,-21.5,pre
E4,116,2024-12-23,157.173,-4.3,pre
E4,117,2024-12-24,157.210,-3.5,pre
E4,118,2024-12-26,158.023,15.0,pre
E4,119,2024-12-27,157.843,10.9,pre
E4,120,2024-12-30,156.860,-11.5,pre
E4,121,2024-12-31,157.203,-3.7,pre
E4,122,2025-01-02,157.540,4.0,pre
E4,123,2025-01-03,157.292,-1.6,pre
E4,124,2025-01-06,157.650,6.5,pre
E4,125,2025-01-07,158.066,16.0,pre
E4,126,2025-01-08,158.354,22.5,pre
E4,127,2025-01-09,158.117,17.1,pre
E4,128,2025-01-10,157.742,8.6,pre
E4,129,2025-01-13,157.477,2.6,pre
E4,130,2025-01-14,157.977,13.9,pre
E4,131,2025-01-15,156.466,-20.4,pre
E4,132,2025-01-16,155.122,-51.0,pre
E4,133,2025-01-17,156.298,-24.2,pre
E4,134,2025-01-20,155.644,-39.1,pre
E4,135,2025-01-21,155.519,-42.0,pre
E4,136,2025-01-22,156.528,-19.0,pre
E4,137,2025-01-23,156.073,-29.4,pre
E4,138,2025-01-24,155.991,-31.2,pre
E4,139,2025-01-27,154.516,-64.8,pre
E4,140,2025-01-28,155.534,-41.6,pre
E4,141,2025-01-29,155.250,-48.1,pre
E4,142,2025-01-30,154.277,-70.2,pre
E4,143,2025-01-31,155.205,-49.1,pre
E4,144,2025-02-03,154.774,-58.9,pre
E4,145,2025-02-04,154.348,-68.6,pre
E4,146,2025-02-05,152.588,-108.6,pre
E4,147,2025-02-06,151.466,-134.1,pre
E4,148,2025-02-07,151.420,-135.2,pre
E4,149,2025-02-10,151.994,-122.1,pre
E4,150,2025-02-11,152.501,-110.6,pre
E4,151,2025-02-12,154.420,-67.0,pre
E4,152,2025-02-13,152.814,-103.5,pre
E4,153,2025-02-14,152.312,-114.9,pre
E4,154,2025-02-17,151.506,-133.2,pre
E4,155,2025-02-18,152.066,-120.5,pre
E4,156,2025-02-19,151.470,-134.0,pre
E4,157,2025-02-20,149.617,-176.2,pre
E4,158,2025-02-21,149.297,-183.5,pre
E4,159,2025-02-24,149.718,-173.9,pre
E4,160,2025-02-25,149.026,-189.6,pre
E4,161,2025-02-26,149.094,-188.1,pre
E4,162,2025-02-27,149.797,-172.1,pre
E4,163,2025-02-28,150.620,-153.4,pre
E4,164,2025-03-03,149.510,-178.6,pre
E4,165,2025-03-04,149.807,-171.9,pre
E4,166,2025-03-05,148.896,-192.6,pre
E4,167,2025-03-06,147.986,-213.3,pre
E4,168,2025-03-07,148.034,-212.2,pre
E4,169,2025-03-10,147.269,-229.6,pre
E4,170,2025-03-11,147.776,-218.1,pre
E4,171,2025-03-12,148.262,-207.0,pre
